                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1022,                 2.1686,                 1.3302,                0.93653,                 0.2509,                0.27384,                0.19064,                 1.0169,                 1.8702,                 1.1393,              0.0033278,              0.0033278,              0.0033278
                      1,                 1.0248,                 1.4228,                 1.2408,                0.67111,                0.27237,                0.26395,                0.14383,                 1.5035,                 2.2082,                 1.6346,              0.0066392,              0.0066392,              0.0066392
                      2,                 1.0793,                 1.2531,                 1.2711,                0.67979,                0.34037,                0.33128,                0.20129,                 1.2101,                 1.2714,                 1.2982,              0.0099285,              0.0099285,              0.0099285
                      3,                 1.1393,                 1.1456,                 1.3105,                0.40623,                0.33619,                0.35815,                0.22898,                 1.0795,                 0.9872,                  1.197,               0.009901,               0.009901,               0.009901
                      4,                 1.0935,                 1.0264,                 1.2813,                0.70181,                0.35673,                0.38015,                0.23476,                 1.1138,                 1.0082,                 1.2273,               0.009901,               0.009901,               0.009901
                      5,                 1.0737,                0.96689,                 1.2678,                0.76275,                0.36951,                0.38917,                0.25188,                0.97201,                0.86869,                 1.1147,               0.009868,               0.009868,               0.009868
                      6,                 1.0313,                0.93079,                 1.2463,                 0.7429,                0.41054,                0.41602,                0.26253,                0.98817,                0.84844,                 1.1301,               0.009835,               0.009835,               0.009835
                      7,                 1.0158,                 0.8784,                 1.2331,                0.67835,                0.45403,                0.44836,                0.27352,                0.96128,                0.81609,                  1.108,               0.009802,               0.009802,               0.009802
                      8,                 1.0025,                0.85973,                 1.2314,                0.40937,                0.42536,                0.41452,                0.26579,                 0.9858,                0.82968,                 1.1205,               0.009769,               0.009769,               0.009769
                      9,                0.98855,                0.83825,                 1.2148,                0.47691,                0.48458,                0.41928,                 0.2652,                0.92819,                0.75063,                 1.0768,               0.009736,               0.009736,               0.009736
                     10,                0.94975,                0.81158,                 1.1924,                0.50905,                0.44729,                0.45732,                0.28759,                0.91681,                0.76772,                 1.0667,               0.009703,               0.009703,               0.009703
                     11,                0.95551,                0.80413,                 1.1983,                0.80988,                0.41907,                0.47819,                 0.2971,                0.86926,                0.72286,                 1.0363,                0.00967,                0.00967,                0.00967
                     12,                0.93992,                0.78535,                 1.1913,                0.57661,                0.49085,                0.49414,                0.30345,                 0.8732,                0.68762,                 1.0405,               0.009637,               0.009637,               0.009637
                     13,                0.93802,                0.77763,                 1.1912,                0.49181,                  0.493,                0.48086,                0.30302,                0.84183,                0.69607,                 1.0208,               0.009604,               0.009604,               0.009604
                     14,                0.90945,                0.75766,                  1.172,                0.52456,                0.48315,                0.48355,                0.30693,                0.89252,                0.67353,                 1.0468,               0.009571,               0.009571,               0.009571
                     15,                0.89521,                0.74477,                 1.1642,                0.55723,                0.48318,                0.47949,                 0.3058,                0.83028,                0.68246,                 1.0075,               0.009538,               0.009538,               0.009538
                     16,                0.89312,                 0.7454,                 1.1646,                0.75263,                0.46913,                0.50263,                0.30963,                0.82455,                0.66373,                  1.003,               0.009505,               0.009505,               0.009505
                     17,                0.89244,                0.73501,                 1.1601,                0.57734,                0.49246,                0.51535,                0.31969,                0.81229,                0.65814,                0.99028,               0.009472,               0.009472,               0.009472
                     18,                0.88268,                 0.7237,                 1.1616,                0.55948,                0.52478,                 0.5356,                0.31831,                0.85836,                0.67496,                 1.0281,               0.009439,               0.009439,               0.009439
